# xrslam-regression report v2
M allow_unpaced 0
M build_dir /tmp/xrreg/post_mobile
M config_from_string 1
M host KaidongdeMacBook-Pro.local
M lib /tmp/xrreg/post_mobile/xrslam-interface/libxrslam.dylib
M lib_sha256 33c6601fbbb1246f041968383fba2fb4caae4b80b3a3802b1cf1a04189d7f656
M lib_threading 1
M lib_version xrslam v0.5.0
M max_frames 160
M opt_inspection 1
M opt_lowlatency 1
M opt_threading 1
M pace 1
M python 3.14.7
M sensor_config sensor.yaml
M seq synth://
M settle_ms 200.0
M slam_config slam.yaml
M src_source synth
M src_synth_accel_bias (0.0, 0.0, 0.0)
M src_synth_accel_noise 0
M src_synth_bg_high 78
M src_synth_bg_low 40
M src_synth_blob_peak 240
M src_synth_blob_radius 3
M src_synth_blob_sigma 1.25
M src_synth_cam_rate 20
M src_synth_cx 376
M src_synth_cy 240
M src_synth_duration 12
M src_synth_fx 460
M src_synth_fy 460
M src_synth_gyro_bias (0.0, 0.0, 0.0)
M src_synth_gyro_noise 0
M src_synth_height 480
M src_synth_imu_rate 200
M src_synth_imu_scale 1
M src_synth_imu_seed 12345
M src_synth_num_landmarks 400
M src_synth_seed 20260823
M src_synth_t0 100
M src_synth_width 752
M tag run#0
M tool pw_tools/regression
M wall_start 1787425064.710
C idx frame_ts pose_ts state landmarks fusion_total qx qy qz qw tx ty tz push_rc lm_rc ms det_kp trk_kp inl_kp mapped_lm lm_published lm_usable core_seq core_imu degen settled
F 112 105.625000000 105.625000000 1 0 193 -0.724601 0.025118 -0.061829 0.685929 -0.403046 -0.003384 -0.371786 0 0 200.347 185 175 181 151 0 0 112 10 0 0
F 113 105.675000000 105.675000000 1 0 193 -0.722562 0.023348 -0.058430 0.688437 -0.437521 -0.003238 -0.367688 0 0 0.785 185 183 185 151 0 0 113 10 0 1
F 114 105.725000000 105.725000000 1 0 193 -0.720594 0.021388 -0.054037 0.690917 -0.462346 -0.002196 -0.360585 0 0 0.783 185 180 185 151 0 0 114 10 0 1
F 115 105.775000000 105.775000000 1 0 193 -0.718572 0.019510 -0.049381 0.693423 -0.484455 -0.001381 -0.352674 0 0 0.779 187 181 185 151 0 0 115 10 0 1
F 116 105.825000000 105.825000000 1 0 193 -0.716477 0.017768 -0.044541 0.695960 -0.504806 -0.000846 -0.344517 0 0 0.775 184 181 187 151 0 0 116 10 0 1
F 117 105.875000000 105.875000000 1 0 206 -0.714290 0.016229 -0.039590 0.698541 -0.523869 0.000569 -0.336546 0 0 200.427 185 179 184 149 0 0 117 10 0 0
F 118 105.925000000 105.925000000 1 0 206 -0.712087 0.014591 -0.034113 0.701111 -0.536932 -0.000778 -0.327491 0 0 0.798 187 182 185 149 0 0 118 10 0 1
F 119 105.975000000 105.975000000 1 0 208 -0.709831 0.013158 -0.028833 0.703658 -0.551007 -0.000495 -0.318934 0 0 0.778 190 184 187 147 0 0 119 10 0 1
F 120 106.025000000 106.025000000 1 0 208 -0.707541 0.011855 -0.023466 0.706183 -0.562619 -0.000225 -0.310149 0 0 0.777 186 182 190 147 0 0 120 10 0 1
F 121 106.075000000 106.075000000 1 0 208 -0.705231 0.010681 -0.018002 0.708668 -0.571976 -0.000478 -0.301095 0 0 0.775 185 185 186 147 0 0 121 10 0 1
F 122 106.125000000 106.125000000 1 0 208 -0.702931 0.009621 -0.012538 0.711083 -0.579495 -0.000831 -0.291687 0 0 200.708 185 181 185 148 0 0 122 10 0 0
F 123 106.175000000 106.175000000 1 0 208 -0.700620 0.008506 -0.006793 0.713452 -0.582698 -0.003026 -0.282105 0 0 0.704 181 181 185 148 0 0 123 10 0 1
F 124 106.225000000 106.225000000 1 0 208 -0.698368 0.007562 -0.001340 0.715697 -0.585475 -0.003265 -0.272295 0 0 0.777 181 177 181 148 0 0 124 10 0 1
